gene_name	n_samples
A4GALT	36
ABCG8	36
ABO	36
ABR	36
AFP	36
AGL	36
AGRN	35
ALOXE3	36
ANKRD11	36
ANO7	36
APOBEC1	36
APOBEC3H	36
APOC1	36
ARHGEF10	36
AXIN1	34
B3GAT3	36
BAX	36
BFSP2	36
BLOC1S3	36
BRAF	36
BSG	36
BTRC	35
C3	36
CALR3	36
CANT1	36
CASP10	36
CBR3	36
CBS	34
CD247	36
CD4	36
CDH15	36
CDH17	36
CFH	36
CFHR4	36
CFHR5	36
CHL1	36
CHRNA4	36
CLCN7	36
CNR2	36
COL18A1	36
COL6A1	36
COX14	36
COX6B1	36
CREB3L3	36
CTDP1	36
CYB5R3	36
CYP2A13	36
CYP2A7	36
CYP2B6	36
CYP2C18	36
CYP2C19	36
CYP2C8	36
CYP2C9	36
CYP2D6	36
CYP2E1	36
CYP2F1	36
CYP2G1P	36
CYP2J2	36
CYP2R1	36
CYP2S1	36
CYP2U1	36
CYP2W1	36
CYP4F12	36
CYP4F3	36
D2HGDH	36
DAZL	36
DCLRE1C	36
DEAF1	36
DMPK	36
DNMT3L	36
DOK7	36
DPY19L2	36
DRD4	36
DSPP	36
ECHS1	36
EEF1A2	36
EIF2B5	35
ENO3	36
ESPN	36
ESRRA	36
ETFB	36
ETHE1	36
EXTL2	36
F7	36
FAT1	36
FCGR2B	36
FCGR3A	36
FGF3	36
FGFRL1	36
FKBP8	36
FLAD1	36
FLG	36
FLT4	36
FOXN1	36
FSCN2	36
FUT1	36
FXN	36
G6PC3	36
GAK	36
GALR1	36
GALT	36
GCSH	36
GDF3	36
GIP	36
GOLGA3	36
GP1BA	36
GP6	36
GPI	36
GPIHBP1	35
GRIN1	36
GUSB	36
H19	36
HBG1	36
HBM	35
HCN2	36
HCN3	36
HLA-A	36
HLA-B	36
HLA-C	36
HLA-DMA	36
HLA-DMB	36
HLA-DOA	36
HLA-DPA1	36
HLA-DPB2	36
HLA-DQA1	36
HLA-DQA2	36
HLA-DQB1	22
HLA-DQB2	36
HLA-DRA	36
HLA-DRB5	36
HLA-E	36
HLA-F	36
HLA-G	36
HLA-J	36
HLA-L	36
HLA-N	36
HLA-S	36
HMGCL	36
HMX1	36
HNF1A	36
HOXB8	36
HPD	35
HSD11B2	36
HYAL1	36
HYDIN	35
IFITM3	36
IFNL3	36
IKBKB	36
IMPA1	36
INPP5E	36
INSL3	36
JAG2	35
KCNE1	36
KCNK1	36
KCNK10	36
KCNK12	36
KCNK13	36
KCNK15	36
KCNK17	36
KCNK18	36
KCNK2	35
KCNK3	36
KCNK4	36
KCNK5	36
KCNK6	36
KCNK7	36
KCNK9	36
KCNV2	36
KDM2B	36
KIR3DL2	36
KISS1	36
KISS1R	34
KLF11	36
KLF14	36
KLK4	36
KMT2C	36
KNG1	36
KRTAP1-1	35
LAMB1	36
LBR	36
LIPN	36
LIX1	36
LMF1	35
LMNB2	35
LRIG2	36
LZTFL1	36
MAFA	36
MAN1B1	36
MARVELD2	36
MASP2	36
MBOAT7	36
MC1R	35
MDK	36
MICB	36
MLC1	36
MLPH	36
MOGS	36
MPG	35
MST1R	36
MUC1	35
MUC12	34
MUC13	36
MUC15	36
MUC16	35
MUC19	36
MUC2	35
MUC20	25
MUC21	36
MUC22	36
MUC4	36
MUC5AC	36
MUC5B	36
MUC6	36
MUC7	36
MUSK	36
MYO9B	36
MYOT	36
MYT1	36
NACA	36
NDUFA6	36
NDUFAF1	36
NDUFB1	36
NDUFV3	36
NLRP12	36
NLRP2	36
NOD1	36
NPM1	36
NPPA	36
OPRL1	36
ORC6	36
P2RX2	36
P2RX5	35
PAPSS2	36
PCBP1	36
PCCB	36
PCDHA10	36
PCMT1	36
PDE6B	36
PDLIM3	36
PDPK1	36
PDSS1	36
PEX5	36
PGAM5	36
PHKG2	36
PIGV	36
PKD1	33
PKN3	36
PLTP	36
PNKP	36
PPIA	36
PPIP5K1	36
PRG4	36
PRKCG	36
PROZ	36
PSPH	36
PTEN	36
PTK6	36
PTPRC	36
PXDN	36
RFX2	35
RGPD3	36
RHCE	36
RHOA	36
RNF212	36
RNF213	36
RPIA	36
RPL22	36
RPN1	36
SAR1B	36
SBK3	36
SEC63	36
SEMG1	36
SERPINF2	36
SH2B1	36
SIGLEC16	36
SLC17A5	36
SLC22A1	36
SLC22A12	36
SLC27A4	36
SLC27A5	35
SLC29A4	36
SLC6A18	36
SLC6A3	36
SMG1	35
SMOC2	36
SNTG2	35
SOHLH1	36
SPI1	36
SPRN	36
SRR	36
SSTR5	36
STK11	36
STXBP2	36
SUZ12	36
TAP1	36
TAP2	36
TBXA2R	35
TCF3	36
TERT	36
THBS2	36
TJP2	35
TM4SF19	35
TMC6	36
TNNI3	36
TNNT1	36
TPCN2	36
TPO	36
TRAPPC10	36
TRBV9	36
TRMT1	36
TRPM4	36
TTC37	36
TTLL1	36
TUBGCP6	36
TYK2	36
TYMS	36
UGT2A1	36
UNKL	35
USP8	36
UVSSA	36
VANGL1	36
VKORC1	36
ZAN	36
ZNF141	36
ZNF419	36
ZNF469	36
